review_priority,canonical_name,family,best_title,best_doi,best_openalex_id,evidence_class,verification_status,outcome_state,within_population_polymorphism,geographic_mosaic,n_colour_morphs,colour_morphs,morph_frequency_reported,morph_frequency_data,population_count,sample_size,pollination_mode,dominant_pollinator_group,bumblebee_status,bumblebee_visitation_share,pollinator_richness,frequency_dependent_selection,directional_selection,spatially_varying_selection,temporally_varying_selection,abiotic_selection,herbivory_selection,mating_system,self_compatibility,genetic_basis,environmental_basis,study_region,latitude,longitude,island_status,native_or_introduced,evidence_level,full_text_status,review_notes,reviewer,review_date
P1,Geranium nepalense,Geraniaceae,Flower Colour Polymorphism in Geranium nepalense (Geraniaceae): Adaptation to Non-Pollinator Agents,10.3161/15052249pje2016.64.4.007,https://openalex.org/W2588750614,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"ABSTRACT Flower colour polymorphism is attributed to pollinator or non-pollinator mediated selection. Geranium nepalense has common white morph and very rare pink morph. We compared pollinator visitation frequencies, temperature and soil moisture between two morphs in the mixed morph population. We also compared morph ratio and reproducti",,
P1,Leavenworthia stylosa,Brassicaceae,Reproductive character displacement shapes a spatially structured petal color polymorphism in Leavenworthia stylosa,10.1111/evo.12659,https://openalex.org/W2005881429,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"cological character displacement) or the risk of forming hybrids with reduced fitness (reproductive character displacement). We test these and alternative hypotheses to explain a yellow-white petal color polymorphism in Leavenworthia stylosa, where yellow morphs are spatially associated with a white-petaled congener (Leavenworthia exigua) that produces hybrids with complete pollen sterility. A reciprocal transplant experiment found limited evidence of local",,
P1,Leptocereus scopulophilus,Cactaceae,"Flower morphs in Leptocereus scopulophilus (Cactaceae) and their reproductive success in Pan de Matanzas, Cuba",10.25223/brad.n40.2022.a1,https://openalex.org/W4280574450,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Flower colour polymorphism is one of the most attractive features in pollination studies. This article investigates the factors influencing the frequency of flower colour polymorphism in the Cuban cactus Leptocereus scopulophilus, where four flower morphs have been reported. We determined whether the colour of the tepals is a discrete variable and estimated morphs frequency in the population. To explain the frequencies of the flower morphs, we c",,
P1,Lupinus perennis,Fabaceae,Effects of Flower Color on Pollination and Seed Production in Lupinus Perennis,,https://openalex.org/W3041830603,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"We examined how flower color morphs (blue vs white) in Lupinus perennis affect the probability of a flower setting fruit, average mass of a seed produced, and average number of seeds per pod.",,
P1,Rhododendron arboreum,Ericaceae,"Altitudinal variation in flower color and attraction pattern of Rhododendron arboreum Sm. in central Himalayan Region of Uttarakhand, India",10.1163/22238980-bja10061,https://openalex.org/W4281817580,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"ation and attraction as a mechanism for pollination and protection of floral parts. As part of this study, a survey relating to flower color variation and differences in spotting pattern (nectar guides) was conducted on Rhododendron arboreum , a widespread tree species in the mountainous region of Uttarakhand state, at 43 different altitudinal locations. Seven original color morphs of flowers and five types of spot variation in the nectar guide were observe",,
P1,Narcissus pseudonarcissus,Amaryllidaceae,Transcriptome Sequencing and Biochemical Analysis of Perianths and Coronas Reveal Flower Color Formation in Narcissus pseudonarcissus,10.3390/ijms19124006,https://openalex.org/W2904598959,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Narcissus pseudonarcissus is an important bulbous plant with white or yellow perianths and light yellow to orange-red coronas, but little is known regarding the biochemical and molecular basis related to flower color polymorphisms. To investigat",,
P1,Viola diversifolia,Violaceae,Polymorphisme morphologique chez le pollen et la fleur de Viola diversifolia (Gingins) Becker,10.1080/01811789.1990.10827015,https://openalex.org/W2033544458,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Click to increase image sizeClick to decrease image sizeSummaryPollen and flower color polymorphism were both found in Viola diversifolia. In all populations studied, 3, 4, 5 and 6-apertured pollen grains were observed. The proportions of these four morphs did not differ significantly between flowers of the same individual, nor between individuals of the",,
P1,Mirabilis jalapa,Nyctaginaceae,"Betalain Color Morphs Exhibit Differential Growth, Defensive Ability, and Pollen Tube Growth Rates in Mirabilis jalapa (Nyctaginaceae)",10.1086/673245,https://openalex.org/W2065776166,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"heir phylogenetic counterparts, the anthocyanins, do.Methodology. We measured floral and leaf betalain concentrations and several phenological and performance traits in four floral color morphs of horticultural lines of Mirabilis jalapa (Nyctaginaceae). We also performed herbivore assays and measured pollen tube length in situ to investigate the role of betalain concentration in defense and prezygotic barriers among the floral color morphs.Pivotal resu",,
P1,Aloe petricola,Asphodelaceae,"Does colour matter? Flower colour polymorphism, pollinator visitation and reproductive success in the endemic Aloe petricola",10.1016/j.sajb.2018.02.109,https://openalex.org/W2796240393,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Does colour matter? Flower colour polymorphism, pollinator visitation and reproductive success in the endemic Aloe petricola",,
P1,Hydrophyllum appendiculatum,Hydrophyllaceae,Reproductive Consequences of a Flower Color Polymorphism in Hydrophyllum appendiculatum,10.2307/2426522,https://openalex.org/W2313736393,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Reproductive Consequences of a Flower Color Polymorphism in Hydrophyllum appendiculatum,,
P1,Pleione limprichtii,Orchidaceae,Comparative Transcriptomics Provides Insight into Floral Color Polymorphism in a Pleione limprichtii Orchid Population,10.3390/ijms21010247,https://openalex.org/W2997206648,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Comparative Transcriptomics Provides Insight into Floral Color Polymorphism in a Pleione limprichtii Orchid Population,,
P1,Ipomoea purpurea,Convolvulaceae,"Flower color variation in the morning glory, Ipomoea purpurea",10.1093/oxfordjournals.jhered.a109778,https://openalex.org/W2279832697,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"In the southeastern United States populations of the annual, self compatible vine, Ipomoea purpurea, are strikingly polymorphic for flower color. Eight color phenotypes are commonly found. Flower color variation can be accounted for by segregation at three loci: P/p determines plgment hue, W/ w pigment distribution, a",,
P1,Gentiana lutea,Gentianaceae,Differences in pollination success between local and foreign flower color phenotypes: a translocation experiment with Gentiana lutea (Gentianaceae),10.7717/peerj.2882,https://openalex.org/W2474042264,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Background The adaptive maintenance of flower color variation is frequently attributed to pollinators partly because they preferentially visit certain flower phenotypes. We tested whether Gentiana lutea —which shows a flower color variation (from orange to yellow) in the Cantabrian Mountains range (north of Spain)—is locally adapted to the pollinator community. Methods We transplanted orange-flowering individuals to a,,
P1,Digitalis purpurea,Plantaginaceae,Flower color variation in Digitalis purpurea,10.6084/m9.figshare.29095451,https://openalex.org/W7130433828,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,In this study we evaluated the effects of biotic (pollinators) and abiotic (soil characteristics) on flower color variation of Digitalis purpurea in three native populations from Sweden and two introduced populations from Bolivia.,,
P1,Phlox drummondii,Polemoniaceae,MOLECULAR SIGNATURES OF SELECTION ON REPRODUCTIVE CHARACTER DISPLACEMENT OF FLOWER COLOR IN PHLOX DRUMMONDII,10.1111/j.1558-5646.2011.01452.x,https://openalex.org/W1519665771,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"s been observed in a wide variety of plants and animals. A classic example of reproductive character displacement, presumed to be caused by reinforcing selection, is flower-color variation in the native Texas wildflower Phlox drummondii. Here, we use population genetic analyses to investigate molecular signatures of selection on flower-color variation in this species. First, we quantify patterns of neutral genetic variation across the range of P. drumm",,
P1,Lobelia siphilitica,Campanulaceae,"Pollinators, Herbivores, and the Maintenance of Flower Color Variation: A Case Study with Lobelia siphilitica",10.1086/656511,https://openalex.org/W2077295153,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"nd the agents of selection on flower color have rarely been estimated. We estimated selection by pollinators and a predispersal seed predator on the three fundamental components of color (brightness, chroma, and hue) of Lobelia siphilitica flowers. We compared phenotypic selection on flowers of supplemental hand- versus open-pollinated plants to infer whether pollinators were an agent of selection on color. We compared attacked and unattacked plants to in",,
P1,Arabidopsis thaliana,Brassicaceae,Genetic Mechanisms Behind Flower Color Variation in Caulanthus Amplexicaulis var. Amplexicaulis (CAA) and Caulanthus Amplexicaulis var. Barbarae (CAB),,https://openalex.org/W1217664957,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"te the gene for flower color in two species of the flower C. amplexicaulis, CAA and CAB, by looking for sequence similarity between the Caulanthus genome and known transcription factors involved in pigment production in Arabidopsis thaliana using plants from the family Brassicaceae as intermediates. Once a high degree of similarity was found in a region of the CAB and CAA genomes, a gene model was developed to achieve an understanding of why CAA is a diffe",,
P2,Heliconia irrasa,Heliconiaceae,Long-Tailed Hermit Hummingbird Visits to Inflorescence Color Morphs of Heliconia irrasa,10.2307/1367077,https://openalex.org/W2328833611,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Visits by Long-tailed Hermit hummingbirds (Phaethornis superciliosus) to flowers of different inflorescence color morphs in a natural population of Heliconia irrasa were monitored indirectly using fluorescent powder. The two color morphs (red and yellow) were indistinguishable with respect to amount and rate of reward (nectar) offered to pollinators. The birds did not appear to pre,,
P2,Lupinus polyphyllus,Fabaceae,"Bumblebee visits to different colour morphs of the Washington lupine, Lupinus polyphyllus",10.33338/ef.83851,https://openalex.org/W2201993718,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"We examined the flower visits of bumblebees (Hymenoptera, Apoidea, Bomb us spp.) to Lupinus polyphyllus Lindley (Fabaceae) in southern Finland. The racemes of the plant bear nectarless flowers which appear in three main colour morphs, blue, red and white, of which blue is the most common. Blue inflorescences had the great",,
P3,Curcuma caulina,Zingiberaceae,"A tale of three morphs I: Variations in nectar, reproductive compatibility, and abundance explain reproductive success of the morphs in a polymorphic ginger from Western Ghats, India",10.1101/2024.09.21.614269,https://openalex.org/W4402799074,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"tive differences among sympatric morphs remain poorly understood. This is primarily because perennial individuals can carry signatures of past selection regimes. We studied bract color polymorphism in a nocturnal ginger Curcuma caulina to ask: (i) Do nectar rewards, reproductive compatibility and pollinator visitation differ among color morphs? (ii) Does morph abundance correlate with fitness via ecological (pollinator-mediated) or physiological (comp",,
P3,Phlox cuspidata,Polemoniaceae,The Cost of Reinforcement: Selection on Flower Color in Allopatric Populations of Phlox drummondii,10.1086/675495,https://openalex.org/W2136138417,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"erring greater reproductive isolation from spreading into allopatry. We investigate flower color divergence in the wildflower Phlox drummondii, which is caused by reinforcement in the regions sympatric with its congener Phlox cuspidata. Specifically, we performed common garden field experiments and pollinator observations to estimate selection acting on flower color variation in allopatry. We combine our estimates of maternal and paternal fitness usin",,
